name,sdf_file,mass_kg,x_init,y_init,z_init,roll_init,pitch_init,yaw_init
2_of_Jenga_Classic_Game,/home/jarret/IMPACT/OBJECTS/2_of_Jenga_Classic_Game/model.sdf,4.299999999999999,0.17334454231767038,-0.023495793781389995,0.0,-1.5648294341019553,2.0506462822893123,-3.0228889270628883
5_HTP,/home/jarret/IMPACT/OBJECTS/5_HTP/model.sdf,1.0999999999999999,0.19525464136125548,0.15877688935064727,0.0,-2.003225815775232,0.5809907936502823,1.7353747572889855
adistar_boost_m,/home/jarret/IMPACT/OBJECTS/adistar_boost_m/model.sdf,4.499999999999999,-0.0590282103293015,0.21544101987971542,0.0,2.6392138621677024,1.2076096950153206,-1.9716905447921451
Aroma_Stainless_Steel_Milk_Frother_2_Cup,/home/jarret/IMPACT/OBJECTS/Aroma_Stainless_Steel_Milk_Frother_2_Cup/model.sdf,1.0999999999999999,0.3320772524718615,0.42958961450197697,0.0,-0.7125564280463852,2.6290925083751873,-2.5054771784546115
Black_Decker_Stainless_Steel_Toaster_4_Slice,/home/jarret/IMPACT/OBJECTS/Black_Decker_Stainless_Steel_Toaster_4_Slice/model.sdf,5.799999999999999,0.2541040953446617,-0.4631824366892089,0.0,-0.4648054969831743,-1.2072448892818484,0.6090007032083289
Chefmate_8_Frypan,/home/jarret/IMPACT/OBJECTS/Chefmate_8_Frypan/model.sdf,2.1999999999999997,-0.2604053926289054,-0.29444336237908075,0.0,-1.6571241912673098,0.8454148606283751,-2.8605481215794555
Cole_Hardware_Hammer_Black,/home/jarret/IMPACT/OBJECTS/Cole_Hardware_Hammer_Black/model.sdf,2.7999999999999994,0.4681671482573504,-0.13908055847522538,0.0,0.31928237069869647,0.473078149511323,0.16380509550641698
Creatine_Monohydrate,/home/jarret/IMPACT/OBJECTS/Creatine_Monohydrate/model.sdf,2.0999999999999996,-0.307252020866838,0.05751032972913994,0.0,1.2333782811106522,2.368400442378422,-1.575580756235474
Down_To_Earth_Orchid_Pot_Ceramic_Lime,/home/jarret/IMPACT/OBJECTS/Down_To_Earth_Orchid_Pot_Ceramic_Lime/model.sdf,3.2999999999999994,0.02473243161686911,-0.16588003728645895,0.0,-1.9762388781601152,0.42317186560480025,-1.8028892020861416
Ecoforms_Plant_Container_Urn_55_Mocha,/home/jarret/IMPACT/OBJECTS/Ecoforms_Plant_Container_Urn_55_Mocha/model.sdf,5.399999999999999,-0.15367837018863695,-0.25167299806824117,0.0,-2.306874699785662,0.8627976933385346,-2.842716488570667
Ecoforms_Plant_Saucer_S17MOCHA,/home/jarret/IMPACT/OBJECTS/Ecoforms_Plant_Saucer_S17MOCHA/model.sdf,3.599999999999999,-0.28963268266436526,0.35324784170684453,0.0,2.106524581958542,-2.8149932868324807,2.5949583692196816
Granimals_20_Wooden_ABC_Blocks_Wagon_g2TinmUGGHI,/home/jarret/IMPACT/OBJECTS/Granimals_20_Wooden_ABC_Blocks_Wagon_g2TinmUGGHI/model.sdf,3.3999999999999995,-0.22184543394276013,0.0071045684803608955,0.0,1.640680516720308,2.7370834422382098,0.7999087650503451
